source_city,source_country,dest_city,dest_country
Brindisi,Italy,Zurich,Switzerland
Bristol,United Kingdom,Zurich,Switzerland
Zurich,Switzerland,Brindisi,Italy
Zurich,Switzerland,Bristol,United Kingdom
Altenrhein,Switzerland,Marina Di Campo,Italy
Dresden,Germany,Zurich,Switzerland
Duesseldorf,Germany,Friedrichshafen,Germany
Marina Di Campo,Italy,Altenrhein,Switzerland
Marina Di Campo,Italy,Friedrichshafen,Germany
Marina Di Campo,Italy,Munich,Germany
Marina Di Campo,Italy,Zurich,Switzerland
Friedrichshafen,Germany,Duesseldorf,Germany
Friedrichshafen,Germany,Marina Di Campo,Italy
Friedrichshafen,Germany,Hamburg,Germany
Friedrichshafen,Germany,Olbia,Italy
Friedrichshafen,Germany,Berlin,Germany
Memmingen,Germany,Naples,Italy
Graz,Austria,Zurich,Switzerland
Hamburg,Germany,Friedrichshafen,Germany
Munich,Germany,Marina Di Campo,Italy
Naples,Italy,Memmingen,Germany
Olbia,Italy,Friedrichshafen,Germany
Salzburg,Austria,Zurich,Switzerland
Berlin,Germany,Friedrichshafen,Germany
Zurich,Switzerland,Dresden,Germany
Zurich,Switzerland,Marina Di Campo,Italy
Zurich,Switzerland,Graz,Austria
Zurich,Switzerland,Salzburg,Austria
Ancona,Italy,Duesseldorf,Germany
Ancona,Italy,Berlin,Germany
Brindisi,Italy,Stuttgart,Germany
Birmingham,United Kingdom,Hamburg,Germany
Birmingham,United Kingdom,Berlin,Germany
Bologna,Italy,Cologne,Germany
Bologna,Italy,Berlin,Germany
Bremen,Germany,Stuttgart,Germany
Bari,Italy,Cologne,Germany
Bari,Italy,Duesseldorf,Germany
Bari,Italy,Stuttgart,Germany
Basel,Switzerland,Duesseldorf,Germany
Budapest,Hungary,Cologne,Germany
Budapest,Hungary,Hamburg,Germany
Budapest,Hungary,Stuttgart,Germany
Cagliari,Italy,Cologne,Germany
Cagliari,Italy,Duesseldorf,Germany
Cagliari,Italy,Stuttgart,Germany
Cologne,Germany,Bologna,Italy
Cologne,Germany,Bari,Italy
Cologne,Germany,Budapest,Hungary
Cologne,Germany,Cagliari,Italy
Cologne,Germany,Catania,Italy
Cologne,Germany,Dresden,Germany
Cologne,Germany,Edinburgh,United Kingdom
Cologne,Germany,Rome,Italy
Cologne,Germany,Friedrichshafen,Germany
Cologne,Germany,Hamburg,Germany
Cologne,Germany,Heringsdorf,Germany
Cologne,Germany,Klagenfurt,Austria
Cologne,Germany,Leipzig,Germany
Cologne,Germany,London,United Kingdom
Cologne,Germany,Manchester,United Kingdom
Cologne,Germany,Milano,Italy
Cologne,Germany,Naples,Italy
Cologne,Germany,Olbia,Italy
Cologne,Germany,Palermo,Italy
Cologne,Germany,Prague,Czech Republic
Cologne,Germany,Pisa,Italy
Cologne,Germany,Laage,Germany
Cologne,Germany,London,United Kingdom
Cologne,Germany,Lamezia,Italy
Cologne,Germany,Salzburg,Austria
Cologne,Germany,Berlin,Germany
Cologne,Germany,Venice,Italy
Cologne,Germany,Vienna,Austria
Cologne,Germany,Villafranca,Italy
Cologne,Germany,Warsaw,Poland
Cologne,Germany,Zurich,Switzerland
Catania,Italy,Cologne,Germany
Catania,Italy,Duesseldorf,Germany
Catania,Italy,Hannover,Germany
Catania,Italy,Hamburg,Germany
Catania,Italy,Stuttgart,Germany
Catania,Italy,Berlin,Germany
Cardiff,United Kingdom,Duesseldorf,Germany
Dresden,Germany,Cologne,Germany
Dresden,Germany,Duesseldorf,Germany
Dresden,Germany,Stuttgart,Germany
Dortmund,Germany,Heringsdorf,Germany
Dortmund,Germany,Munich,Germany
Duesseldorf,Germany,Ancona,Italy
Duesseldorf,Germany,Bari,Italy
Duesseldorf,Germany,Basel,Switzerland
Duesseldorf,Germany,Cagliari,Italy
Duesseldorf,Germany,Catania,Italy
Duesseldorf,Germany,Cardiff,United Kingdom
Duesseldorf,Germany,Dresden,Germany
Duesseldorf,Germany,Geneva,Switzerland
Duesseldorf,Germany,Heringsdorf,Germany
Duesseldorf,Germany,Katowice,Poland
Duesseldorf,Germany,Leipzig,Germany
Duesseldorf,Germany,Milano,Italy
Duesseldorf,Germany,Newquai,United Kingdom
Duesseldorf,Germany,Nuernberg,Germany
Duesseldorf,Germany,Olbia,Italy
Duesseldorf,Germany,Poznan,Poland
Duesseldorf,Germany,Prague,Czech Republic
Duesseldorf,Germany,Lamezia,Italy
Duesseldorf,Germany,Torino,Italy
Duesseldorf,Germany,Venice,Italy
Duesseldorf,Germany,Warsaw,Poland
Duesseldorf,Germany,Wroclaw,Poland
Edinburgh,United Kingdom,Cologne,Germany
Rome,Italy,Cologne,Germany
Rome,Italy,Hannover,Germany
Rome,Italy,Hamburg,Germany
Rome,Italy,Stuttgart,Germany
Rome,Italy,Berlin,Germany
Friedrichshafen,Germany,Cologne,Germany
Karlsruhe/Baden-Baden,Germany,Hamburg,Germany
Memmingen,Germany,Hamburg,Germany
Memmingen,Germany,Berlin,Germany
Frankfurt,Germany,Heringsdorf,Germany
Geneva,Switzerland,Duesseldorf,Germany
Geneva,Switzerland,Hamburg,Germany
Hannover,Germany,Catania,Italy
Hannover,Germany,Rome,Italy
Hannover,Germany,Milano,Italy
Hannover,Germany,Naples,Italy
Hannover,Germany,London,United Kingdom
Hannover,Germany,Stuttgart,Germany
Hannover,Germany,Lamezia,Italy
Hannover,Germany,Venice,Italy
Hannover,Germany,Vienna,Austria
Hamburg,Germany,Birmingham,United Kingdom
Hamburg,Germany,Budapest,Hungary
Hamburg,Germany,Cologne,Germany
Hamburg,Germany,Catania,Italy
Hamburg,Germany,Rome,Italy
Hamburg,Germany,Karlsruhe/Baden-Baden,Germany
Hamburg,Germany,Memmingen,Germany
